time,meteo
2024-05-01T00:00:00+00:00,0.81
2024-05-01T01:00:00+00:00,1.02
2024-05-01T02:00:00+00:00,1.53
2024-05-01T03:00:00+00:00,2.52
2024-05-01T04:00:00+00:00,3.14
2024-05-01T05:00:00+00:00,3.72
2024-05-01T06:00:00+00:00,4.04
2024-05-01T07:00:00+00:00,4.18
2024-05-01T08:00:00+00:00,4.22
2024-05-01T09:00:00+00:00,4.66
2024-05-01T10:00:00+00:00,4.59
2024-05-01T11:00:00+00:00,4.34
2024-05-01T12:00:00+00:00,3.64
2024-05-01T13:00:00+00:00,3.4
2024-05-01T14:00:00+00:00,3.41
2024-05-01T15:00:00+00:00,3.51
2024-05-01T16:00:00+00:00,3.52
2024-05-01T17:00:00+00:00,3.31
2024-05-01T18:00:00+00:00,3.01
2024-05-01T19:00:00+00:00,2.7
2024-05-01T20:00:00+00:00,2.5
2024-05-01T21:00:00+00:00,2.11
2024-05-01T22:00:00+00:00,1.71
2024-05-01T23:00:00+00:00,1.43
2024-05-02T00:00:00+00:00,1.87
2024-05-02T01:00:00+00:00,2.6
2024-05-02T02:00:00+00:00,3.04
2024-05-02T03:00:00+00:00,3.49
2024-05-02T04:00:00+00:00,3.76
2024-05-02T05:00:00+00:00,4.03
2024-05-02T06:00:00+00:00,4.07
2024-05-02T07:00:00+00:00,4.43
2024-05-02T08:00:00+00:00,4.74
2024-05-02T09:00:00+00:00,5.05
2024-05-02T10:00:00+00:00,4.88
2024-05-02T11:00:00+00:00,4.77
2024-05-02T12:00:00+00:00,4.26
2024-05-02T13:00:00+00:00,4.03
2024-05-02T14:00:00+00:00,3.68
2024-05-02T15:00:00+00:00,3.26
2024-05-02T16:00:00+00:00,3.14
2024-05-02T17:00:00+00:00,3.18
2024-05-02T18:00:00+00:00,2.77
2024-05-02T19:00:00+00:00,1.89
2024-05-02T20:00:00+00:00,1.42
2024-05-02T21:00:00+00:00,1.36
2024-05-02T22:00:00+00:00,1.36
2024-05-02T23:00:00+00:00,1.36
2024-05-03T00:00:00+00:00,2.45
2024-05-03T01:00:00+00:00,2.97
2024-05-03T02:00:00+00:00,3.23
2024-05-03T03:00:00+00:00,3.49
2024-05-03T04:00:00+00:00,3.77
2024-05-03T05:00:00+00:00,4.08
2024-05-03T06:00:00+00:00,4.18
2024-05-03T07:00:00+00:00,4.17
2024-05-03T08:00:00+00:00,4.17
2024-05-03T09:00:00+00:00,3.82
2024-05-03T10:00:00+00:00,3.75
2024-05-03T11:00:00+00:00,3.26
2024-05-03T12:00:00+00:00,2.97
2024-05-03T13:00:00+00:00,2.64
2024-05-03T14:00:00+00:00,2.62
2024-05-03T15:00:00+00:00,2.31
2024-05-03T16:00:00+00:00,1.84
2024-05-03T17:00:00+00:00,1.43
2024-05-03T18:00:00+00:00,1.22
2024-05-03T19:00:00+00:00,1.08
2024-05-03T20:00:00+00:00,1.03
2024-05-03T21:00:00+00:00,1.0
2024-05-03T22:00:00+00:00,1.03
2024-05-03T23:00:00+00:00,0.94
2024-05-04T00:00:00+00:00,1.1
2024-05-04T01:00:00+00:00,1.68
2024-05-04T02:00:00+00:00,1.92
2024-05-04T03:00:00+00:00,2.28
2024-05-04T04:00:00+00:00,2.91
2024-05-04T05:00:00+00:00,3.5
2024-05-04T06:00:00+00:00,3.23
2024-05-04T07:00:00+00:00,3.27
2024-05-04T08:00:00+00:00,3.45
2024-05-04T09:00:00+00:00,3.38
2024-05-04T10:00:00+00:00,2.91
2024-05-04T11:00:00+00:00,2.62
2024-05-04T12:00:00+00:00,1.93
2024-05-04T13:00:00+00:00,1.77
2024-05-04T14:00:00+00:00,1.84
2024-05-04T15:00:00+00:00,1.49
2024-05-04T16:00:00+00:00,1.27
